[2023-01-10 18:37:04.668] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.675] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.680] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.687] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.701] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.710] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.716] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.725] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.740] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.751] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.754] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.767] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.777] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.783] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.797] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.807] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.814] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.824] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.836] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
